time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,istio-init_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,payment_error,queue-master_error,shipping_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1702372880,2.563568935427641,2.289032422064567,1.2527035760445477,0.3617607617004152,16.195483451748807,49.977800809396896,0.328468586387432,1.2808463099361331,4.8472616632859955,0.6558066316847175,0.00009013992174216371,0.36291192682068724,6.42379948756096,2.711241989393846,1.1058981587525638,216006656,137265152,13529088,868143104,196861952,7753728,588709888,33304576,20602880,512319488,185073664,9297920,5771264,589598720,21123072,107134976,13.252,10,37.008,13.252,1.88,2,2.012,38.634,,,5.252,13.252,0,0,0,0,0.009122478162285678,0.00379045285170953,0.026102532913028227,0.0003207792254136106,0.004062344548048004,0.003273104613043204,0.0048560470494838715,0.0037554241064763154,0.022475908547331894,0.00975818491685211,0.08037457694982583,0.04796945211615345,0.010595195990846117,0.008887186971518473,0.012976076401034334,0.009498460189233232
1702372881,2.563568935427641,2.289032422064567,1.2527035760445477,0.3645936347725615,16.318460386815794,49.977800809396896,0.328468586387432,1.2688683659635123,4.8472616632859955,0.6558066316847175,0.00009013992174216371,0.36291192682068724,6.42379948756096,2.7061686222837293,1.1058981587525638,216006656,137265152,13529088,868143104,196861952,7753728,588709888,33304576,20602880,512319488,185073664,9297920,5771264,589598720,21135360,107134976,7.248,9.992,40.952,23.24,2,2,0,52.59,,,9.24,23.24,0,0,0,0,0.009122528574166943,0.0037904990819726736,0.026102508289199484,0.00032079092049772497,0.0040632505763620675,0.003304849320519779,0.0047688575608982875,0.003755474810265983,0.022475968987400285,0.009758410404927517,0.08037376388360007,0.047973632299848135,0.010600522965504061,0.007168961330310873,0.01147588719964052,0.009498617853153155
1702372882,2.563568935427641,2.289032422064567,1.219923278328945,0.3460937664028218,14.971458466996129,50.02427402905985,0.328468586387432,1.2568904219908912,4.8472616632859955,0.6535997425620947,0.00009013992174216371,0.36291192682068724,6.42379948756096,2.7061686222837293,1.1058981587525638,216006656,137265152,13529088,868143104,196861952,7753728,618221568,33304576,20602880,512319488,185073664,9297920,5771264,589598720,21135360,107134976,5.252,5.988,30.901,5.252,2.041,2,2,18.634,,,3.252,5.252,0,0,0,0,0.009122609132032384,0.0038071332832695323,0.026102443311188977,0.00032079261440286114,0.004063149457488592,0.00330484992871973,0.004768789987352371,0.0037554787926238984,0.02247602976899688,0.00983548429717975,0.08037362232361585,0.04797420218788709,0.010599584513808396,0.0071689772955595725,0.01147570591923668,0.009498622763002592
1702372883,2.563568935427641,2.289032422064567,1.219923278328945,0.3460937664028218,14.929275424359659,50.02427402905985,0.328468586387432,1.2449124780182703,4.0958822470137415,0.6346392328089822,0.00009013992174216371,0.36291192682068724,6.42379948756096,2.7061686222837293,1.1058981587525638,216006656,137265152,13529088,868143104,196861952,7753728,618221568,33304576,20602880,512319488,185073664,9297920,5771264,589598720,21135360,107134976,25.252,12.036,41.008,19.113,1.901,2,2,56.634,,,5.252,19.113,0,0,0,0,0.009122753733286363,0.0037959634095749255,0.026102587538829772,0.00032081162218467607,0.004062693434962678,0.00330484992871973,0.004768627472799468,0.0037555031192787656,0.022476143767907516,0.009785550383455154,0.08037350917403498,0.047980740835421226,0.0105955866292564,0.0071689772955595725,0.011475268227039226,0.009498656754669295
1702372884,2.563568935427641,2.289032422064567,1.219923278328945,0.3460937664028218,14.887092381723189,50.02427402905985,0.328468586387432,1.2329345340456492,4.015094552625641,0.6346392328089822,0.00009013992174216371,0.3703002815139192,6.42379948756096,2.7061686222837293,1.1058981587525638,216006656,137265152,13529088,868143104,196861952,7753728,618221568,33304576,20602880,512319488,185073664,9297920,5771264,589598720,21135360,107134976,21.333,10.032,43.25,15.284,1.901,2,2,50.763,,,7.284,15.284,0,0,0,0,0.009070435493138785,0.0037959915627658377,0.02610268103201415,0.0003208175154329203,0.004062585104862981,0.00330484992871973,0.00476866301091733,0.0037417693838646153,0.02232658230566453,0.009785685734431214,0.08037324397919851,0.04798283232516064,0.010594580181306027,0.0071689772955595725,0.011475365211629117,0.009392268702800745
1702372885,2.563568935427641,2.289032422064567,1.219923278328945,0.3460937664028218,12.845606173709012,50.02427402905985,0.2591540705722383,1.0978052596128514,1.7456159911700908,0.6346392328089822,0,0.3703002815139192,6.42379948756096,2.7061686222837293,1.1058981587525638,216006656,137265152,13529088,868143104,196833280,7753728,618221568,33304576,20602880,512319488,185073664,9297920,5771264,589598720,21135360,107134976,23.065,17.814,61.836,19.158,2,2,3.96,38.177,,,7.158,19.158,0,0,0,0,0.008953216574680053,0.003805849293280908,0.02526292023216925,0.00031874426237283964,0.004051262736362876,0.00330484992871973,0.0053276737236052675,0.0036488524773863403,0.02201015202602808,0.00987575201834987,0.07841800838546222,0.046933118727851386,0.01177313872437186,0.0071689772955595725,0.012984696271919826,0.009157751106635931
1702372886,2.563568935427641,2.289032422064567,1.2229046170969418,0.3460937664028218,12.968583108775999,50.02427402905985,0.2644647861821752,1.1819502361955383,1.7096370764188895,0.6346392328089822,0,0.3703002815139192,6.42379948756096,2.7061686222837293,1.109054844098037,216006656,137265152,13533184,868143104,196833280,7753728,618221568,33304576,20602880,512319488,185073664,9297920,5771264,589598720,21135360,107130880,13.26,9.976,40.897,7.244,2,2,4,32.586,,,5.244,7.244,0,0,0,0,0.008953322768058616,0.0038058707425236062,0.02526320989702485,0.00031876135888786044,0.004051148139566966,0.0031238938053097347,0.0052029222710771855,0.0036487752807495577,0.02201023409531548,0.009875861337142534,0.07841841816859683,0.04693927936060858,0.011772194170280413,0.004823008849557523,0.012713084645309946,0.009156863375066802
1702372887,2.563568935427641,2.289032422064567,1.2229046170969418,0.3460937664028218,13.091560043842982,50.02427402905985,0.2697755017921121,1.0704439568102162,1.9331772433520484,0.6346392328089822,0,0.3703002815139192,6.42379948756096,2.7130794651848573,1.109054844098037,216006656,137265152,13533184,868143104,196833280,7753728,618221568,33304576,20602880,512770048,185073664,9297920,5771264,589598720,21135360,107130880,7.252,10,29.008,5.252,1.876,2,2.012,20.634,,,3.252,5.252,0,0,0,0,0.008953560691223841,0.003834242739639973,0.025263434697476155,0.0003187860266937117,0.004050586640389805,0.0031238938053097347,0.005202975001398522,0.0036487753585229756,0.022010410540217455,0.009924586904265165,0.0784176204333618,0.04694763431963172,0.01176783122414321,0.004823008849557523,0.012713223488431133,0.00915664229162358
1702372888,2.563568935427641,1.9334375937202313,1.2229046170969418,0.3460937664028218,13.214536978909965,50.02427402905985,0.275086217402049,1.047778180519511,1.9331772433520484,0.6346392328089822,0,0.3703002815139192,6.42379948756096,2.7130794651848573,1.109054844098037,216006656,137265152,13533184,868143104,196833280,7753728,618221568,33304576,20602880,512770048,185073664,9297920,5771264,589598720,21135360,107130880,9.252,8,39.008,13.252,1.905,2,4,30.634,,,5.252,13.252,0,0,0,0,0.008953508996052571,0.0038168223878656243,0.02526333939889694,0.000318786138098928,0.004050504300122834,0.0031238938053097347,0.0052029161469409856,0.0036487666690111584,0.02201036967272932,0.00987406365380453,0.078417236549309,0.04694755460932345,0.011767111068339112,0.004823008849557523,0.012713070138917783,0.009156547601405244
1702372889,2.563568935427641,1.7497975,1.2229046170969418,0.3460937664028218,13.323452812851658,50.02427402905985,0.280396933011986,1.1760446352237715,1.9331772433520484,0.6346392328089822,0,0.3703002815139192,6.42379948756096,2.7130794651848573,1.1353525905947228,216006656,137265152,13533184,868143104,196833280,7753728,618221568,33304576,20611072,512770048,185073664,9297920,5771264,589598720,21135360,107130880,15.252,8,31.008,5.252,2.02,2,0,24.634,,,3.252,5.252,0,0,0,0,0.008981325102677922,0.003816854470194561,0.025263406431225603,0.0003187989106188366,0.004050777570738478,0.0031238938053097347,0.005202914801445517,0.003637023158295418,0.02200082364854222,0.009874213136278105,0.07841656562743939,0.0469517902762614,0.011769138347446194,0.004823008849557523,0.012713067318066549,0.009035543045640788
