time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,orders_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1702361506,2.999136521227152,8.924449507985143,1.1620729240693324,0.34694641153131484,8.485272219617167,3.0237336125056706,0.442157819865557,0.7514013725924259,0.929664132813033,0.8959332989204873,0,0.4052588938928221,1.0227146674733927,3.244303225612134,1.3275405882752518,208658432,84582400,14413824,434495488,109232128,319660032,41672704,10371072,282836992,94105600,4677632,2912256,297693184,16261120,48685056,10,8,2,4,2,2,4,32,0,0,0,0.016379613356766253,0.0031538461538461538,0.009761904761904763,0.018663793103448276,0.0023699633699633695,0.003,0.0030901408450704224,0.005060851926977687,0.04062499999999998,0.0048769230769230764,0.0218421052631579,0.04403846153846153,0.004544322344322344,0.0046,0.004762253521126761,0.009912778904665314
1702361507,2.999136521227152,8.924449507985143,1.1552776730152812,0.34694641153131484,8.315944939483787,2.8906931391850366,0.442157819865557,0.7514013725924259,0.929664132813033,0.8959332989204873,0,0.4052588938928221,0.8645096503852907,3.244303225612134,1.3420668079939044,208658432,84582400,14413824,434495488,109232128,319664128,41672704,10371072,282836992,94105600,4677632,2912256,297693184,16261120,48685056,8.028,2,2.028,6.028,6,2,6,38.114,0,0,0,0.016379613356766253,0.0031538461538461538,0.009761904761904763,0.018663793103448276,0.0023699633699633695,0.003,0.0030901408450704224,0.005060851926977687,0.04062499999999998,0.0048769230769230764,0.0218421052631579,0.04403846153846153,0.004544322344322344,0.0046,0.004762253521126761,0.009912778904665314
1702361508,2.999136521227152,8.924449507985143,1.1552776730152812,0.34694641153131484,10.146050432933288,2.8906931391850366,0.442157819865557,0.7514013725924259,0.929664132813033,0.49944250000000245,0,0.4052588938928221,0.8825797488424056,3.244303225612134,1.3420668079939044,208658432,84582400,14413824,434495488,109223936,319664128,41672704,10371072,282836992,94105600,4677632,2912256,297693184,16261120,48685056,20.032,7.984,2.008,4,6,2,4,24.024,0,0,0,0.015733644859813083,0.0031458323048239277,0.009661016949152543,0.018362831858407078,0.00234375,0.003,0.0030891364902506965,0.005007869884575025,0.03897606382978722,0.00486249814868307,0.021764705882352943,0.04396,0.004543750000000001,0.0046,0.004760445682451254,0.009899790136411332
1702361509,2.999136521227152,8.924449507985143,1.1552776730152812,0.34694641153131484,10.146050432933288,2.8906931391850366,0.442157819865557,0.7514013725924259,0.929664132813033,0.49944250000000245,0,0.4052588938928221,0.9006498472995204,3.244303225612134,1.3420668079939044,208658432,84582400,14413824,434495488,109223936,319664128,41672704,10371072,282836992,94105600,4677632,2912256,297693184,16261120,48685056,16,2,2,6,6,2,4,24,0,0,0,0.01588315217391304,0.0031455160744500847,0.009615384615384616,0.0186875,0.002291044776119403,0.003,0.0030891364902506965,0.005,0.039064102564102546,0.004861928934010152,0.021727272727272727,0.04398854961832061,0.004529850746268657,0.0046,0.004760445682451254,0.009865853658536584
1702361510,2.999136521227152,8.924449507985143,1.1552776730152812,0.34694641153131484,10.146050432933288,2.8906931391850366,0.44160561605616,0.7514013725924259,0.929664132813033,0.49944250000000245,0,0.4052588938928221,0.9187199457566355,3.2717858842874965,1.3420668079939044,208658432,84582400,14413824,434495488,109223936,319664128,41705472,10371072,282836992,94105600,4677632,2912256,297693184,16244736,48685056,20.048,8.032,2.016,2,2,2,1.992,2,0,0,0,0.0158822330359962,0.0031455150593110454,0.009615384615384614,0.018886810024948252,0.002269230769230769,0.003,0.003091169464055813,0.004969873361970617,0.0391109952891095,0.0048619271067598824,0.02172727272727273,0.04401218334630924,0.004527692307692307,0.0046,0.004764105035300463,0.009855226116357219
1702361511,2.999136521227152,8.924449507985143,1.1552776730152812,0.34694641153131484,10.146050432933288,2.8906931391850366,0.4416056160561601,0.7514013725924259,0.929664132813033,0.49944250000000245,0,0.4052588938928221,0.9367900442137502,3.2717858842874965,1.3420668079939044,208658432,84582400,14413824,434495488,109223936,319664128,41705472,10371072,282836992,94105600,4677632,2912256,297693184,16244736,48685056,10,12,2,4,6,2,4.008,12,0,0,0,0.015792269022483697,0.003141135972461274,0.009615384615384616,0.018467741935483867,0.002298507462686567,0.003,0.003088888888888889,0.004988352745424292,0.038994760019597126,0.004854044750430293,0.021727272727272727,0.043828125,0.004543283582089552,0.0046,0.0047599999999999995,0.009864052953156822
1702361512,2.999136521227152,7.359704281778198,1.1552776730152812,0.3470630001343299,10.146050432933288,2.8906931391850366,0.4416056160561601,0.7514013725924259,0.929664132813033,0.8191326984692083,0,0.4052588938928221,1.0842059074268935,3.2717858842874965,1.3420668079939044,208658432,84582400,14413824,434495488,109223936,319664128,41705472,10371072,282836992,94023680,4677632,2912256,297693184,16244736,48685056,20,10.061,2,2,2,2,2.012,8,0,0,0,0.015792349726775956,0.003141135972461274,0.009615384615384616,0.018467741935483867,0.002298507462686567,0.003,0.003088888888888889,0.004988352745424292,0.038994845360824724,0.004854044750430293,0.021727272727272727,0.043828125,0.004543283582089552,0.0046,0.0047599999999999995,0.009864052953156822
1702361513,2.999136521227152,7.511862530270834,1.1552776730152812,0.3470630001343299,10.146050432933288,2.9445254943776344,0.4416056160561601,0.6558137254815121,0.8906981523023605,0.8191326984692083,0,0.4052588938928221,1.0842059074268935,3.2717858842874965,1.3420668079939044,208658432,84582400,14413824,434495488,109223936,319664128,41705472,10371072,282836992,94023680,4677632,2912256,297693184,16244736,48685056,23.968,17.968,1.992,9.984,10,2,9.952,51.928,0,0,0,0.015154494382022474,0.0031433691756272406,0.009583333333333333,0.01817622950819672,0.0022941176470588237,0.003,0.003089137133926153,0.00498132427843803,0.03623641304347826,0.004858064516129032,0.0217,0.04371951219512195,0.004546666666666668,0.0046,0.004760446841067075,0.009861835245046923
1702361514,2.999136521227152,7.6640207787634695,1.1552776730152812,0.3470630001343299,10.146050432933288,2.9445254943776344,0.4416056160561601,0.7555304512038857,0.8906981523023605,0.8191326984692083,0,0.4052588938928221,1.0842059074268935,3.2717858842874965,1.3420668079939044,208658432,84582400,14413824,434495488,109223936,319664128,41705472,10379264,282836992,94023680,4677632,2912256,297693184,16244736,48685056,26,8,2,10,10,2,10,56,0,0,0,0.015337837837837839,0.0031426086956521737,0.009545454545454544,0.01826771653543307,0.00228030303030303,0.003,0.0030891364902506965,0.005028350515463917,0.03637434554973821,0.004856695652173913,0.021666666666666664,0.04368,0.004553030303030303,0.0046,0.004760445682451254,0.009917010309278352
1702361515,2.999136521227152,7.386545926508196,1.1552776730152812,0.3470630001343299,10.146050432933288,2.9445254943776344,0.4423385360602784,0.7543729219585769,0.8048770557935783,0.8191326984692083,0,0.39960386406282555,1.0842059074268935,3.2717858842874965,1.3420668079939044,208658432,84627456,14413824,434495488,109223936,319664128,41705472,10379264,282836992,94023680,4677632,2912256,297693184,16244736,48685056,12,2,2.028,14.085,14,2,13.968,76.256,0,0,0,0.015390199637023592,0.0031426086956521737,0.009545454545454544,0.018545081967213113,0.0022490118577075096,0.003,0.003085961134967213,0.005020942408376964,0.036447368421052624,0.004856695652173913,0.021666666666666664,0.04380252100840336,0.00455098814229249,0.0046,0.004754730042940984,0.009917277486910996
