time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,queue-master_error,shipping_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1702379142,2.7900459515806375,15.978243970296466,1.024201462146254,0.30756414721932107,8.544040924181855,1.5290662101925894,0.41123991935483434,0.7904578322496482,0.6432183957774552,0.787186864880918,0.00008911178347909266,0.27923648643197735,9.911809625987232,2.1595437332030296,1.17554784802145,218296320,106622976,11137024,434106368,312295424,335769600,53805056,12050432,260870144,96051200,4620288,2936832,603570176,11423744,77402112,28,10,36,4,4,2,4.016,44,0,0,0,0,0,0,0.028929640718562872,0.003199170124481328,0.03224750295508275,0.030314033877627627,0.002598086124401914,0.003,0.005990773077538893,0.003478142076502732,0.0754516129032258,0.00495850622406639,0.08689866552615678,0.060148090501792054,0.004933014354066985,0.0046,0.035155015006997914,0.007819397993311038
1702379143,2.7900459515806375,15.978243970296466,1.024201462146254,0.30756414721932107,6.711521299565291,1.7845059103236984,0.28133249999999776,0.7904578322496482,0.6432183957774552,0.787186864880918,0.00008911178347909266,0.28507819282483887,8.292665000000026,2.1595437332030296,1.17554784802145,218296320,106622976,11137024,434106368,312295424,335781888,53805056,12050432,260870144,96051200,4620288,2936832,603570176,11423744,77402112,10,8,16,4,4,2,6,16,0,0,0,0,0,0,0.028929640718562872,0.003199170124481328,0.032247423033526755,0.03031567751842752,0.002598086124401914,0.003,0.005494564943445638,0.003478142076502732,0.0754516129032258,0.00495850622406639,0.0868986090745767,0.060151229325513283,0.004933014354066985,0.0046,0.024954128134076728,0.007819397993311038
1702379144,2.7900459515806375,16.163309815406688,1.024201462146254,0.30756414721932107,6.845557373249756,1.9225483671080952,0.367742799396154,0.8022956447114454,0.6432183957774552,0.787186864880918,0.00008911178347909266,0.2909198992177004,8.292665000000026,2.137471928762522,1.17554784802145,218296320,106754048,11137024,434106368,312295424,335781888,53854208,12050432,260870144,96051200,4620288,2936832,603570176,12308480,77402112,10,4,6,8,8,2,8,38,0,0,0,0,0,0,0.028929640718562872,0.003199170124481328,0.032247367703218774,0.030316778485215985,0.002598086124401914,0.003,0.005494564943445638,0.003478142076502732,0.0754516129032258,0.00495850622406639,0.08689856999225269,0.06015333181692856,0.004933014354066985,0.0046,0.024954128134076728,0.007819397993311038
1702379145,2.7900459515806375,16.163309815406688,0.8687902702818061,0.30756414721932107,8.042164421067802,1.9225483671080952,0.3751843745397505,0.8022956447114454,0.6432183957774552,0.787186864880918,0.00008911178347909266,0.296761605610562,8.292665000000026,2.137471928762522,0.9369677893011762,218296320,106754048,11137024,434106368,312295424,335781888,53854208,12050432,260870144,96051200,4620288,2936832,603570176,12308480,77402112,24,6,16,10,10.024,2,10,74,0,0,0,0,0,0,0.029203869047619044,0.0031963190184049082,0.032247327127659584,0.030863945578231296,0.00258252427184466,0.003,0.005410254348234865,0.003473575840768703,0.07620370370370369,0.004953374233128835,0.08689854133164213,0.05809655172413789,0.004920388349514564,0.0046,0.023686465399079155,0.007793220338983051
1702379146,2.165992272170164,16.163309815406688,0.8517202459127018,0.31204567129384453,8.042164421067802,1.9225483671080952,0.3826259496833469,0.8022956447114454,0.6432183957774552,0.787186864880918,0.00008911178347909266,0.3026033120034235,8.292665000000026,2.137471928762522,0.9569153700533594,218296320,106754048,11137024,434106368,312295424,335781888,53854208,12050432,260870144,96051200,4620288,2936832,603570176,12308480,77402112,14,10,26,6,6,2,6,36,0,0,0,0,0,0,0.029067164179104477,0.003191056910569106,0.03200509854327335,0.030665141692546583,0.0025207373271889403,0.003,0.005511539707796582,0.003445736434108527,0.07632352941176469,0.004943902439024391,0.0864161518926855,0.053827837500000086,0.004843317972350231,0.0046,0.023053843179981,0.007621212121212125
1702379147,2.210159690368799,16.163309815406688,1.0281460151050483,0.31204567129384453,8.042164421067802,1.9225483671080952,0.4464945086157875,0.7962133363886355,0.6432183957774552,0.787186864880918,0.0001189126406902502,0.3505023835716915,8.791810681719502,2.137471928762522,0.9768629508055426,218296320,106754048,11145216,434106368,201228288,335781888,53854208,12054528,260870144,96051200,4620288,2936832,603033600,12308480,77402112,18,14,28,10,12,2,12,60,0,0,0,0,0,0,0.029067164179104477,0.003191056910569106,0.03200507486582781,0.030665566755051884,0.0025207373271889403,0.003,0.005511539707796582,0.003445736434108527,0.07632352941176469,0.004943902439024391,0.08641613361240066,0.05382874996751142,0.004843317972350231,0.0046,0.023053843179981,0.007621212121212125
1702379148,2.4570127112804396,16.163309815406688,1.0281460151050483,0.31204567129384453,8.042164421067802,1.9225483671080952,0.4464945086157875,0.7962133363886355,0.6432183957774552,0.787186864880918,0.0001189126406902502,0.3505023835716915,8.791810681719502,2.137471928762522,0.9968105315577261,218308608,106754048,11145216,434106368,201228288,335781888,53854208,12054528,260870144,96051200,4620288,2936832,603033600,12308480,77402112,26,20,26,12,12,2,10,70,0,0,0,0,0,0,0.029067164179104477,0.003191056910569106,0.03200505569837189,0.03066590734989648,0.0025207373271889403,0.003,0.005119151856497148,0.003445736434108527,0.07632352941176469,0.004943902439024391,0.08641611881401784,0.0538294811111111,0.004843317972350231,0.0046,0.019555783310986785,0.007621212121212125
1702379149,2.8914819734787307,16.163309815406688,1.048367837126768,0.31291359733018603,8.042164421067802,1.9225483671080952,0.4464945086157875,0.7962133363886355,0.6432183957774552,0.7872910211447502,0.0001189126406902502,0.3505023835716915,8.791810681719502,2.137471928762522,1.0167581123099094,218308608,106754048,11145216,434110464,201228288,335781888,53854208,12054528,260870144,96051200,4620288,2936832,603033600,12308480,77402112,12,18,38,2,1.984,2,2,18,0,0,0,0,0,0,0.029067045016464982,0.003191056910569106,0.032005039864386575,0.030666186384503965,0.002520752671183437,0.003,0.005119151856497148,0.003445736434108527,0.07632343266887082,0.004943902439024391,0.08641610658922828,0.05383008010540181,0.004843313041942768,0.0046,0.019555783310986785,0.007621212121212125
1702379150,2.8914819734787307,16.163309815406688,1.048367837126768,0.31291359733018603,8.042164421067802,1.9225483671080952,0.4464945086157875,0.7962133363886355,0.6404260237193412,0.7872910211447502,0.0001189126406902502,0.3505023835716915,8.791810681719502,2.137471928762522,1.0367056930620926,218308608,106754048,11145216,434110464,201228288,335781888,53854208,12054528,260866048,96051200,4620288,2936832,603033600,12308480,77402112,6,12,28,10,10,2,8,62,0,0,0,0,0,0,0.029092920353982296,0.00317564870259481,0.032005026563838905,0.031049640038924273,0.0025047619047619046,0.003,0.004982629607787573,0.003428015564202335,0.07607558139534883,0.004916167664670658,0.0864160963203782,0.0518487923868313,0.004851428571428571,0.0046,0.018253232516068835,0.007470588235294121
1702379151,2.8914819734787307,16.163309815406688,1.048367837126768,0.31291359733018603,8.042164421067802,1.9225483671080952,0.4464945086157875,0.7962133363886355,0.6404260237193412,0.8110953242056327,0.0001189126406902502,0.3505023835716915,8.791810681719502,2.137471928762522,1.196854845130996,218308608,106754048,11145216,434110464,201228288,335781888,53854208,12054528,260866048,96051200,4620288,2936832,603033600,12308480,77402112,14.012,8,7.952,8.024,8.024,2,8.024,36.025,0,0,0,0,0,0,0.028592085443339153,0.003181099136999148,0.0322617828269203,0.0310404957239705,0.002452914798206278,0.003,0.0050955987326038,0.003401918265992908,0.07590883647060649,0.004925978446598466,0.08579821372588015,0.04943031856596649,0.004820627802690584,0.0046,0.018552679839683107,0.007239194287636268
