time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,queue-master_error,shipping_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1702376802,2.6221645097610753,13.753419050370757,1.0468882297766193,0.33010081820340614,8.392390119008091,2.2897636439655153,0.4169267509367105,0.7866709802652866,0.6971060081786736,0.8096030004953663,0,0.3813012660485038,2.3636396403612214,3.2701545266544096,1.4872065355330053,217190400,93474816,10764288,434110464,105754624,337293312,46624768,11816960,263729152,94683136,4620288,2899968,303771648,18087936,58175488,10.012,8,18,8.024,8.012,2,10.012,38.036,0,0,0,0,0,0,0.02111607142857143,0.0031072026800670017,0.032974516695957815,0.029326923076923073,0.0023458646616541347,0.0030168067226890756,0.0033961661341853034,0.006385135135135135,0.04749297752808988,0.004792964824120603,0.08205159705159705,0.047403846153846144,0.004613533834586466,0.004630252100840336,0.007663043478260869,0.017629186602870814
1702376803,3.149163980357282,13.753419050370757,1.0468882297766193,0.33010081820340614,8.392390119008091,2.2897636439655153,0.4169267509367105,0.7866709802652866,0.6971060081786736,0.8096030004953663,0,0.3813012660485038,2.3636396403612214,3.2701545266544096,1.2792454883143065,217190400,93474816,10764288,434110464,105754624,337293312,46624768,11816960,263729152,94683136,4620288,2899968,303771648,18087936,58175488,6,2,20,6,6,2,6,28,0,0,0,0,0,0,0.02111607142857143,0.0031072026800670017,0.032974516695957815,0.029326923076923073,0.0023458646616541347,0.0030168067226890756,0.0033961661341853034,0.006385135135135135,0.04749297752808988,0.004792964824120603,0.08205159705159705,0.047403846153846144,0.004613533834586466,0.004630252100840336,0.007663043478260869,0.017629186602870814
1702376804,3.149163980357282,13.753419050370757,1.0468882297766193,0.33010081820340614,8.392390119008091,2.2897636439655153,0.4169267509367105,0.7866709802652866,0.6971060081786736,0.8096030004953663,0,0.3813012660485038,3.046733638991844,3.2701545266544096,1.2544587127220899,217190400,93474816,10764288,434110464,105754624,337293312,46624768,11816960,263729152,94683136,4620288,2899968,303771648,18087936,58175488,12,8,14,2.012,2,2,0,18,0,0,0,0,0,0,0.021281412070038534,0.0031072026800670017,0.032974516695957815,0.0293265782955051,0.0023458911142268785,0.0030168067226890756,0.003396173193171232,0.006385143907520846,0.04766854341032541,0.004792964824120603,0.08205159705159705,0.04740378030545141,0.0046135332872918565,0.004630252100840336,0.007663093991043248,0.017629208770878355
1702376805,3.149163980357282,13.753419050370757,1.0468882297766193,0.33010081820340614,8.392390119008091,2.2897636439655153,0.4169267509367105,0.7685679778210909,0.6971060081786736,0.8096030004953663,0,0.3744457961611253,3.046733638991844,3.2701545266544096,1.4832983580001515,217190400,93474816,10764288,434110464,105754624,337293312,46624768,11816960,263729152,94683136,4620288,2899968,303771648,18087936,58232832,34,14,28,6,6,2,6,48,0,0,0,0,0,0,0.021047516198704107,0.00310801393728223,0.03281844106463879,0.028611111111111115,0.0023417721518987343,0.0030168067226890756,0.0033787375415282386,0.006461538461538461,0.047529761904761915,0.004794425087108013,0.08169421487603307,0.04705555555555556,0.004589873417721519,0.004630252100840336,0.00752380952380952,0.01801030927835051
1702376806,3.149163980357282,11.839401565860827,1.0468882297766193,0.33010081820340614,8.392390119008091,2.2897636439655153,0.4169267509367105,0.7685679778210909,0.6971060081786736,0.8096030004953663,0,0.31655023531134596,3.046733638991844,3.2701545266544096,1.4832983580001515,217190400,93474816,10764288,434110464,105754624,337293312,46624768,11816960,263729152,94683136,4620288,2899968,303771648,18087936,58232832,10,8.016,24.096,5.992,5.992,2,9.992,32.016,0,0,0,0,0,0,0.021064851204701664,0.0031054421768707484,0.03254076086956521,0.028750140333681562,0.0023385108460302496,0.003,0.0033868836083566166,0.006481752159810121,0.04742798318531644,0.004789795918367346,0.0819620253164557,0.04695002726002773,0.004604669335204491,0.0046,0.007511098960690905,0.017805076626442568
1702376807,3.149163980357282,11.610177915021316,0.8928647989707341,0.33010081820340614,8.392390119008091,2.2897636439655153,0.4169267509367105,0.6737373639132158,0.6971060081786736,0.6880883368126829,0,0.3781051178639991,3.046733638991844,3.2701545266544096,1.4832983580001515,217190400,93474816,10764288,434110464,105754624,337293312,46624768,11816960,263729152,94683136,4620288,2899968,303771648,18087936,58232832,18,12,30,8,10,2,10,62,0,0,0,0,0,0,0.021064814814814817,0.0031054421768707484,0.03254076086956521,0.028749999999999998,0.0023384791783460134,0.003,0.0033868852459016394,0.006481755424063116,0.047427953890489906,0.004789795918367346,0.0819620253164557,0.04695,0.004604669558741087,0.0046,0.007511111111111113,0.01780508474576271
1702376808,3.149163980357282,13.556591958939194,0.8754166618077905,0.33010081820340614,8.392390119008091,2.2897636439655153,0.4169267509367105,0.6609278976161975,0.7251196850952104,0.6745949534710933,0,0.3781051178639991,3.046733638991844,3.2701545266544096,1.4832983580001515,217190400,93356032,10764288,434110464,105754624,337293312,46624768,11816960,263725056,94683136,4620288,2899968,303771648,18087936,58232832,8,6,20,6,6.016,2,6,26,0,0,0,0,0,0,0.021064814814814817,0.0031054421768707484,0.03254076086956521,0.028749999999999998,0.00233852140077821,0.003,0.0033868852459016394,0.006481755424063116,0.047427953890489906,0.004789795918367346,0.0819620253164557,0.04695,0.0046046692607003906,0.0046,0.007511111111111113,0.01780508474576271
1702376809,3.149163980357282,13.556591958939194,0.857968524644847,0.3249539485412078,7.153580088663398,2.2897636439655153,0.4169267509367105,0.6481184313191795,0.7251196850952104,0.5045675000000038,0,0.3781051178639991,3.046733638991844,3.2701545266544096,1.4832983580001515,217190400,93356032,10764288,434110464,105754624,337293312,46624768,11816960,263725056,94683136,4620288,2899968,303771648,18087936,58232832,24,10,30,6,6,2,6,24,0,0,0,0,0,0,0.02116052060737527,0.0031054421768707484,0.03254076086956521,0.028749999999999998,0.00233852140077821,0.003,0.003386883608301573,0.006481755424063116,0.04744712990936556,0.004789795918367346,0.0819620253164557,0.04695,0.0046046692607003906,0.0046,0.007511098960282484,0.01780508474576271
1702376810,3.0801742167353563,13.798866776632842,1.057303468408958,0.3249539485412078,7.013706920013263,2.2897636439655153,0.4169267509367105,0.6353089650221612,0.7251196850952104,0.5045675000000038,0,0.3781051178639991,2.3736301776318234,3.343980307601196,1.4832983580001515,217260032,93356032,10780672,434110464,105754624,337293312,46624768,11816960,263725056,94683136,4620288,2899968,303771648,18100224,58232832,18.024,10.024,22.133,10.012,8,2,10.016,52.06,0,0,0,0,0,0,0.020943708609271527,0.003096947935368043,0.032394366197183104,0.028357142857142862,0.002324675324675325,0.003,0.0033569023569023568,0.006452145214521453,0.047157012195121965,0.004774506283662478,0.08203342618384404,0.04704285714285714,0.004589610389610391,0.0046,0.00725,0.01771309192200559
1702376811,3.0801742167353563,13.798866776632842,1.057303468408958,0.3249539485412078,8.32487146388955,2.2897636439655153,0.3613394756258216,0.6224994987251429,0.7527884968761311,0.7744597035715021,0.00008386677164276252,0.3781051178639991,2.3736301776318234,3.343980307601196,1.3018598534987427,217260032,93356032,10780672,434110464,109948928,337293312,46624768,11816960,263725056,94679040,4620288,2899968,303771648,18100224,58232832,8,11.976,30,2,2,2,2,8,0,0,0,0,0,0,0.020901898734177218,0.003101577227307965,0.0322196261682243,0.028954081632653065,0.002374984563385578,0.003,0.0033130990415335465,0.006512315270935961,0.04700148809523809,0.004782839009154337,0.08202879581151834,0.04742346938775511,0.0046374994608263855,0.0046,0.0067777777777777845,0.017653061224489796
