time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,carts_error,front-end_error,orders_error,queue-master_error,shipping_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1702378362,3.1704905490548887,19.76436588887335,0.9966241213466277,0.32904591741887357,8.63396941209479,2.1031343983666426,0.4245492456764363,0.8015223042528608,0.7194852395786883,0.8231442482898579,0.00009275114155252165,0.3832545711949958,0.9021577367076264,3.4074263221639143,1.5270032612222029,218038272,103960576,11116544,434106368,104652800,335761408,51748864,12038144,261406720,96043008,4620288,2899968,304771072,16556032,69644288,12,8,20,3.972,4,2,6.024,16,0,0,0,0,0,0,0.02574624876769095,0.0031034482758620684,0.034205426356589144,0.03151078709998716,0.0024231858184051605,0.003,0.003270765141152611,0.006083236139649772,0.0729850719843284,0.004786206896551724,0.08513636363636364,0.04688548527980191,0.004652429321577021,0.0046,0.006044043817188488,0.016673212766917363
1702378363,3.1704905490548887,19.76436588887335,0.9966241213466277,0.32904591741887357,8.63396941209479,2.1031343983666426,0.4245492456764363,0.8015223042528608,0.7194852395786885,0.8231442482898579,0.00009275114155252165,0.39584358764014105,0.7176819168333448,3.4074263221639143,1.5270032612222029,218038272,103960576,11116544,434106368,104652800,335761408,51748864,12038144,261406720,96043008,4620288,2899968,304771072,16556032,69644288,12,8,8,8,8,2,8.065,50,0,0,0,0,0,0,0.02574573863636364,0.0031034482758620684,0.034205426356589144,0.031510416666666666,0.0024232209737827717,0.003,0.0032707692307692307,0.0060832497492477435,0.07298469387755102,0.004786206896551724,0.08513636363636364,0.046885416666666666,0.004652434456928839,0.0046,0.006044117647058827,0.01667329545454545
1702378364,3.1704905490548887,19.76436588887335,0.9966241213466277,0.32904591741887357,8.63396941209479,2.1031343983666426,0.3549939275931135,0.8015223042528608,0.7194852395786885,0.8231442482898579,0.00009275114155252165,0.39584358764014105,0.8651982119750993,3.4074263221639143,1.5820658551738458,218038272,103960576,11116544,434106368,104652800,335761408,51748864,12038144,261406720,96043008,4620288,2899968,304771072,16556032,69644288,32,18,44,2,2.012,2,4,22,0,0,0,0,0,0,0.02574573863636364,0.0031034482758620684,0.034205426356589144,0.031510416666666666,0.0024232209737827717,0.003,0.003270766893608941,0.0060832497492477435,0.07298469387755102,0.004786206896551724,0.08513636363636364,0.046885416666666666,0.004652434456928839,0.0046,0.0060440754545364695,0.01667329545454545
1702378365,3.1704905490548887,19.76436588887335,0.8346062600197108,0.32904591741887357,8.63396941209479,2.1031343983666426,0.4486925615638435,0.8015223042528608,0.625130797182674,0.8231442482898579,0.00009275114155252165,0.39584358764014105,0.8651982119750993,3.4074263221639143,1.5820658551738458,218038272,103960576,11116544,434106368,104652800,335761408,51838976,12038144,261406720,96043008,4620288,2899968,304771072,16556032,69644288,12,10,28,4,4,2,4,52,0,0,0,0,0,0,0.025836090798525207,0.0031018200006698465,0.034234475374732336,0.03165954057350221,0.0023946116682255847,0.003,0.0032776004885371594,0.006042379296201446,0.07142483904563884,0.004783276001205723,0.08473750000000001,0.04668125297748774,0.004626051127170747,0.0046,0.006161729746830751,0.01665477682831573
1702378366,3.1704905490548887,19.76436588887335,0.8179958579972672,0.32904591741887357,8.63396941209479,2.1031343983666426,0.4486925615638435,0.8062168088532465,0.6374082447381598,0.8231442482898579,0.00009275114155252165,0.39584358764014105,0.8651982119750993,3.4074263221639143,1.5820658551738458,218038272,103960576,11116544,434106368,104652800,335761408,51838976,12042240,261406720,96043008,4620288,2899968,304771072,16556032,69644288,16,14,20,6,6,2,8,58,0,0,0,0,0,0,0.026339285714285714,0.0031087719298245613,0.03450875486381323,0.031653225806451614,0.002408759124087591,0.003,0.003292205385522398,0.006003009027081244,0.07157754010695187,0.004795789473684211,0.08530681818181819,0.04673387096774194,0.004610218978102189,0.0046,0.00638567715886587,0.016169642857142855
1702378367,3.1704905490548887,19.76436588887335,1.0227882398155466,0.32904591741887357,8.924536468222945,2.1031343983666426,0.4486925615638435,0.8062168088532465,0.736646853329152,0.8317733502336961,0.00009275114155252165,0.39584358764014105,0.8651982119750993,3.4074263221639143,1.5820658551738458,218038272,103960576,11120640,434106368,104652800,335761408,51838976,12042240,261406720,96047104,4620288,2899968,304771072,16556032,69644288,16,6,34,6,6,2,6,36,0,0,0,0,0,0,0.026339717676913416,0.003108775215815416,0.03450875486381324,0.031653380673227184,0.0024087688542388684,0.003,0.0033024701668737813,0.006003055691509774,0.071577864187441,0.004795795388467749,0.08530681818181819,0.04673390381032018,0.004610220147582915,0.0046,0.00653948860570484,0.016169627817488055
1702378368,3.1704905490548887,19.76436588887335,1.0227882398155466,0.32904591741887357,8.924536468222945,2.1031343983666426,0.4486925615638435,0.8102429461597848,0.736646853329152,0.8317733502336961,0.00009275114155252165,0.39584358764014105,0.8651982119750993,3.4074263221639143,1.5820658551738458,218038272,103960576,11120640,434106368,104652800,335761408,51838976,12042240,261406720,96047104,4620288,2899968,304771072,16556032,69644288,6,6,20,2,2,2,2.008,6,0,0,0,0,0,0,0.026339285714285714,0.0031087719298245613,0.03450875486381323,0.031653225806451614,0.002408759124087591,0.003,0.0033024691358024697,0.006003009027081244,0.07157754010695187,0.004795789473684211,0.08530681818181819,0.04673387096774194,0.004610218978102189,0.0046,0.006539473684210532,0.016169642857142855
1702378369,3.1704905490548887,19.76436588887335,1.0227882398155466,0.32904591741887357,8.924536468222945,2.1031343983666426,0.4486925615638435,0.8102429461597848,0.736646853329152,0.8317733502336961,0.00006755937429626398,0.39584358764014105,0.8651982119750993,3.4074263221639143,1.5820658551738458,218038272,103960576,11120640,434106368,104652800,335761408,51838976,12042240,261406720,96047104,4620288,2899968,304771072,16556032,69644288,10,4,14,4,6,2,6,38,0,0,0,0,0,0,0.026339285714285714,0.0031087719298245613,0.03450875486381323,0.031653225806451614,0.002408759124087591,0.003,0.0033024675892049677,0.006003009027081244,0.07157754010695187,0.004795789473684211,0.08530681818181819,0.04673387096774194,0.004610218978102189,0.0046,0.006539451301929453,0.016169642857142855
1702378370,3.1704905490548887,19.76436588887335,1.0227882398155466,0.32904591741887357,8.924536468222945,2.1031343983666426,0.4486925615638435,0.8102429461597848,0.7157512890012102,0.8317733502336961,0.00006755937429626398,0.39584358764014105,0.8722570169334353,3.4074263221639143,1.5820658551738458,218038272,103960576,11120640,434106368,104652800,335761408,51838976,12042240,261394432,96047104,4620288,2899968,304766976,16556032,69644288,16,4,10,10,10,2,12,44,0,0,0,0,0,0,0.026338028169014094,0.0031027522935779817,0.03471638655462185,0.031997863247863245,0.002390977443609022,0.003,0.003302839116719243,0.006045258620689656,0.0710169491525424,0.004784954128440367,0.08563414634146344,0.04682692307692308,0.004610526315789473,0.0046,0.006513157894736842,0.01653703703703705
1702378371,3.1704905490548887,19.76436588887335,1.0227882398155466,0.32904591741887357,8.924536468222945,2.1031343983666426,0.4486925615638435,0.8102429461597848,0.7157512890012102,0.8317733502336961,0.00006755937429626398,0.32776673730744593,0.8722570169334353,3.3946075085324683,1.5820658551738458,218038272,103960576,11120640,434106368,104652800,335761408,51838976,12042240,261394432,96047104,4620288,2899968,304766976,16556032,69644288,20,16,30,4,4,2,6,36,0,0,0,0,0,0,0.026434426229508205,0.0031041292639138237,0.03410218253968254,0.03187751004016064,0.0024233576642335762,0.003,0.0033223684210526316,0.006072144288577154,0.07083333333333337,0.004787432675044883,0.08524418604651163,0.0468574297188755,0.004613138686131386,0.0046,0.006756410256410259,0.01648837209302325
